Country,"Unemployment
rate (%)","Source/date of
information"
 Greenland*,6.8,[30] 2017
 Grenada*,24.0,[31] 2017
 Guam*,4.5,[7] 2017
 Guatemala*,2.5,[4] 2020
 Guernsey*,1.0,[32] Q2 2018
 Guinea*,4.3,[4] 2020
 Guinea-Bissau*,2.5,[4] 2020
 Guyana*,11.8,[4] 2020
 Haiti*,13.9,[4] 2020
 Honduras*,5.2,[4] 2020
 Hong Kong*,6.4,[33] October 2020
 Hungary*,4.9,[13] January 2021
 Iceland*,7.2,[13] January 2021
 India*,7.9,[34] Dec. 2021
 Indonesia*,7.1,[35] Q3 2020
 Iran*,11.2,[4] 2020
 Iraq*,12.8,[4] 2020
 Ireland*,5.8,[13] April 2021
 Isle of Man*,1.9,[36] October 2020
 Israel*,4.7,[37] September 2020
 Italy*,10.7,[13] April 2021
 Ivory Coast*,3.4,[4] 2020
 Jamaica*,7.9,[4] 2020
 Japan*,2.9,[38] February 2021
 Jersey*,1.6,[39] March [40] 2020
 Jordan*,14.6,[4] 2020
 Kazakhstan*,5.0,[41] September 2020
 Kenya*,2.6,[4] 2020
 Kiribati*,30.6,[7] 2010
 Kosovo*,25.9,[42] Q4 2019
 Kuwait*,2.3,[4] 2020
 Kyrgyzstan*,6.6,[4] 2020
 Laos*,0.6,[4] 2020
 Latvia*,8.5,[13] January 2021
 Lebanon*,6.3,[4] 2020
 Lesotho*,22.8,[4] 2020
 Liberia*,2.7,[4] 2020
 Libya*,18.6,[4] 2020
 Liechtenstein*,1.5,[43] 2019
 Lithuania*,9.6,[13] January 2021
 Luxembourg*,6.5,[13] October 2020
 Macau*,2.5,[4] 2020
 Madagascar*,1.8,[4] 2020
 Malawi*,5.7,[4] 2020
 Malaysia*,4.6,[44] September 2020
 Maldives*,6.4,[4] 2020
 Mali*,7.3,[4] 2020
 Malta*,3.9,[13] October 2020
 Marshall Islands*,36.0,[7] 2006
 Mauritania*,9.6,[4] 2020
 Mauritius*,6.7,[4] 2020
 Mayotte*,30.0,[45] 2017
 Mexico*,3.8,[46] December 2020
 Micronesia*,16.2,[7] 2010
 Moldova*,4.2,[47] Q2 2020
 Monaco*,2.0,[7] 2012
 Mongolia*,5.9,[4] 2020
 Montenegro*,19.3,[48] October 2020
 Montserrat*,5.6,[7] 2017
 Morocco*,12.7,[49] Q3 2020
 Mozambique*,3.2,[4] 2020
 Myanmar*,1.7,[4] 2020
 Namibia*,20.6,[4] 2020
 Nauru*,23.0,[50] 2011
 Nepal*,2.60,[4] 2020
 Netherlands*,2.9,[51] Oktober 2021
 Netherlands Antilles,21.2,[52] April 2019
 New Caledonia*,12.8,[4] 2020
 New Zealand*,5.3,[53] Q3 2020
 Nicaragua*,7.4,[4] 2020
 Niger*,0.5,[4] 2020
 Nigeria*,33.3,[54] Q4 2020
 Niue*,10.7,[55] 2006
 North Korea*,2.7,[4] 2019
 North Macedonia*,15.7,[56] 2021
 Northern Mariana Islands*,11.2,[7] 2010
 Norway*,3.5,[57] November 2021
 Oman*,2.5,[4] 2020
 Pakistan*,4.4,[4] 2020
 Palau*,1.7,[7] 2015
 Palestine*,25.3,[58] 2019
 Panama*,3.8,[4] 2020
 Papua New Guinea*,2.5,[4] 2020
 Paraguay*,5.7,[59] Q4 2019
 Peru*,16.4,[60] October 2020
 Philippines*,10.0,[61] Q3 2020
 Poland*,3.1,[13] January 2021
 Portugal*,7.2,[13] January 2021
 Puerto Rico*,8.3,[62] October 2020
 Qatar*,0.1,[4] 2020
 Romania*,5.7,[13] April 2021
 Russia*,6.3,[63] September 2020
 Rwanda*,16.0,[64] August 2020
 Saint Helena*,14.0,[7] 1998
 Saint Kitts and Nevis*,5.1,[65] 2006
 Saint Lucia*,20.15,[66] 2020
 Saint Pierre and Miquelon*,8.7,[7] 2015
 Saint Vincent and the Grenadines*,18.8,[7] 2008
 Samoa*,8.4,[4] 2020
 San Marino*,8.0,[7] 2017
 So Tom and Prncipe*,13.7,[4] 2020
 Saudi Arabia*,7.5,[67] Q2 2020
 Senegal*,6.7,[4] 2020
 Serbia*,7.3,[68] Q2 2020
 Sierra Leone*,4.4,[4] 2020
 Singapore*,3.6,[69] Q3 2020
 Slovakia*,7.0,[13] October 2020
 Slovenia*,4.9,[13] October 2020
 Somalia*,11.4,[4] 2020
 South Africa*,35.3,[70] Q4 2021
 South Korea*,4.2,[71] October 2020
 South Sudan*,12.3,[4] 2020
 Spain*,13.3,[72] January 2022
 Sri Lanka*,5.4,[73] Q2 2020
 Sudan*,16.6,[4] 2020
 Suriname*,7.5,[4] 2020
 Sweden*,8.9,[13] January 2021
 Switzerland*,5.1,[13] December 2020
 Syria*,8.4,[4] 2020
 Taiwan*,3.8,[74] September 2020
 Tajikistan*,11.0,[4] 2020
 Tanzania*,2.0,[4] 2020
 Thailand*,1.9,[75] August 2020
 Togo*,2.0,[4] 2020
 Tonga*,1.2,[4] 2020
 Trinidad and Tobago*,2.8,[4] 2020
 Tunisia*,16.2,[76] Q3 2020
 Turkey*,12.7,[77] October 2020
 Turkmenistan*,4.1,[4] 2020
 Uganda*,1.9,[4] 2020
 Ukraine*[c],9.9,[78] Q2 2020
 United Arab Emirates*,2.4,[4] 2020
 United Kingdom*,3.9,[79]March 2022
 United States*,3.8,[80] February 2022
 Uruguay*,11.1,[81] February 2021
 Uzbekistan*,8.9,[82] Q3 2019
 Vanuatu*,4.4,[4] 2020
 Venezuela*,9.4[d],[4] 2020
 Vietnam*,2.7,[84] Q2 2020
 U.S. Virgin Islands*,8.8,[4] 2020
 Wallis and Futuna*,8.8,[7] 2013
 Yemen*,12.8,[4] 2020
 Zambia*,11.4,[4] 2020
 Zimbabwe*,5.0,[4] 2020
